'Elapsed time','ECG'
'seconds','mV'
0.000,0.185
0.001,0.185
0.003,0.169
0.004,0.185
0.006,0.185
0.007,0.185
0.008,0.185
0.010,0.185
0.011,0.185
0.013,0.200
0.014,0.200
0.015,0.192
0.017,0.200
0.018,0.192
0.019,0.192
0.021,0.208
0.022,0.215
0.024,0.208
0.025,0.215
0.026,0.215
0.028,0.200
0.029,0.208
0.031,0.208
0.032,0.208
0.033,0.208
0.035,0.200
0.036,0.192
0.037,0.192
0.039,0.208
0.040,0.208
0.042,0.192
0.043,0.215
0.044,0.223
0.046,0.223
0.047,0.223
0.049,0.223
0.050,0.231
0.051,0.231
0.053,0.223
0.054,0.231
0.056,0.231
0.057,0.231
0.058,0.223
0.060,0.231
0.061,0.215
0.062,0.223
0.064,0.231
0.065,0.223
0.067,0.223
0.068,0.223
0.069,0.223
0.071,0.223
0.072,0.223
0.074,0.215
0.075,0.215
0.076,0.215
0.078,0.223
0.079,0.223
0.081,0.215
0.082,0.215
0.083,0.208
0.085,0.208
0.086,0.223
0.087,0.215
0.089,0.208
0.090,0.223
0.092,0.215
0.093,0.208
0.094,0.223
0.096,0.223
0.097,0.215
0.099,0.208
0.100,0.223
0.101,0.223
0.103,0.215
0.104,0.223
0.106,0.215
0.107,0.208
0.108,0.215
0.110,0.223
0.111,0.223
0.113,0.215
0.114,0.223
0.115,0.223
0.117,0.223
0.118,0.223
0.119,0.215
0.121,0.231
0.122,0.223
0.124,0.231
0.125,0.223
0.126,0.231
0.128,0.231
0.129,0.223
0.131,0.223
0.132,0.238
0.133,0.246
0.135,0.231
0.136,0.231
0.138,0.238
0.139,0.231
0.140,0.231
0.142,0.231
0.143,0.223
0.144,0.215
0.146,0.215
0.147,0.215
0.149,0.223
0.150,0.231
0.151,0.223
0.153,0.223
0.154,0.231
0.156,0.246
0.157,0.238
0.158,0.246
0.160,0.262
0.161,0.246
0.163,0.246
0.164,0.254
0.165,0.246
0.167,0.238
0.168,0.238
0.169,0.231
0.171,0.223
0.172,0.223
0.174,0.223
0.175,0.215
0.176,0.215
0.178,0.215
0.179,0.223
0.181,0.231
0.182,0.231
0.183,0.254
0.185,0.262
0.186,0.277
0.188,0.277
0.189,0.269
0.190,0.277
0.192,0.262
0.193,0.262
0.194,0.262
0.196,0.269
0.197,0.277
0.199,0.285
0.200,0.262
0.201,0.254
0.203,0.254
0.204,0.262
0.206,0.246
0.207,0.262
0.208,0.277
0.210,0.262
0.211,0.262
0.212,0.277
0.214,0.277
0.215,0.277
0.217,0.277
0.218,0.277
0.219,0.285
0.221,0.292
0.222,0.292
